job_url,title,company,location,site,date_posted,scraped_at,applied_at,status,resume_path,cover_letter_path,notion_page_id,notes
https://www.glassdoor.ca/job-listing/j?jl=1010046652300,Full Stack Java Developer-3,Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_LLC_Full_Stack_Java_Developer-3_20260227_1111\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_LLC_Full_Stack_Java_Developer-3_20260227_1111\cover_letter.pdf,,
https://ca.indeed.com/viewjob?jk=70febe94dca5a0df,Software Developer - CRM,Insurance Council of British Columbia,"Vancouver, BC, CA",indeed,2026-02-27,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Insurance_Council_of_British_Columbia_Software_Developer_-_C_20260227_1112\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Insurance_Council_of_British_Columbia_Software_Developer_-_C_20260227_1112\cover_letter.pdf,,
https://ca.indeed.com/viewjob?jk=a964f6f437d740d9,Full Stack Java Developer-3,Realign,"Toronto, ON, CA",indeed,2026-02-27,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_Full_Stack_Java_Developer-3_20260227_1112\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_Full_Stack_Java_Developer-3_20260227_1112\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4378771985,Full Stack Engineer,Courtyard AI,"Toronto, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Courtyard_AI_Full_Stack_Engineer_20260227_1113\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Courtyard_AI_Full_Stack_Engineer_20260227_1113\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4377277551,Front End CMS Developer,Boardwalk,"Calgary, Alberta, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Boardwalk_Front_End_CMS_Developer_20260227_1114\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Boardwalk_Front_End_CMS_Developer_20260227_1114\cover_letter.pdf,,
https://www.glassdoor.ca/job-listing/j?jl=1010047642852,"Associate, Software Engineer, New Grad Card Expansion",Capital One,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046651162,Backfill Java Springboot-5,Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046604037,Java Developer,Procom,Canada,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046649785,CM Python Developer-5,Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046691624,Fullstack Developer,Wipro Limited,Canada,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010047049445,Compiler Engineering Intern,Intel,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046650411,DevOps-3,Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046650255,Java Backend (Spring Boot)-5,Realign LLC,Canada,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046648814,Java Springboot-5,Realign LLC,Canada,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046650664,"Full Stack Developer / Java, Angular, Springboot-3",Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.linkedin.com/jobs/view/4377910856,Fullstack Java Developer,Open Systems Technologies,"Mississauga, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Open_Systems_Technologies_Fullstack_Java_Developer_20260227_1115\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Open_Systems_Technologies_Fullstack_Java_Developer_20260227_1115\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4377288776,Fullstack Developer,Wipro,"Toronto, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Wipro_Fullstack_Developer_20260227_1116\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Wipro_Fullstack_Developer_20260227_1116\cover_letter.pdf,,
https://www.glassdoor.ca/job-listing/j?jl=1010046648670,Java FSD-5,Realign LLC,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010047649854,Software Data Engineer,BenchSci,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.linkedin.com/jobs/view/4377291706,Java Fullstack Developer,BULLIT SYSTEMS,"Mississauga, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\BULLIT_SYSTEMS_Java_Fullstack_Developer_20260227_1117\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\BULLIT_SYSTEMS_Java_Fullstack_Developer_20260227_1117\cover_letter.pdf,,
